Year,"Total Area Sown (""Thousand"")
Hect.","Area (Thousand)
Hect.","Production (Thousand)
Bales.","Index of Area Sown
(Base year 2010-11)","Index of Production
(Base year 2010-11)",% Share of Area Sown
2010-11,6985.2,2200.6,7854.0,100.0,100.0,31.5
2011-12,7383.1,2533.7,11129.0,115.1,141.7,34.3
2012-13,7196.3,2308.7,9526.0,104.9,121.3,31.5
2013-14,7331.8,2199.0,9145.0,99.9,116.4,29.9
2014-15,7358.8,2322.9,10277.0,105.6,130.9,31.6
2015-16,7342.7,2242.7,6343.0,101.9,80.8,30.5
2016-17,7061.6,1815.3,6978.0,82.5,88.8,25.7
2017-18,7425.2,2052.9,8077.0,93.3,102.8,27.6
2018-19,7230.1,1887.8,6829.0,85.8,86.9,26.1
2019-20,7400.0,1879.7,6306.0,85.4,80.3,25.4
2020-21,7235.0,1546.3,5044.0,70.3,64.2,21.4
